# ZDT1 - All evaluated solutions
0.374540 0.950714 0.731994 0.598658 0.156019
0.155995 0.058084 0.866176 0.601115 0.708073
0.020584 0.969910 0.832443 0.212339 0.181825
0.183405 0.304242 0.524756 0.431945 0.291229
0.611853 0.139494 0.292145 0.366362 0.456070
0.785176 0.199674 0.514234 0.592415 0.046450
0.607545 0.170524 0.065052 0.948886 0.965632
0.808397 0.304614 0.097672 0.684233 0.440152
0.122038 0.495177 0.034389 0.909320 0.258780
0.662522 0.311711 0.520068 0.546710 0.184854
0.969585 0.775133 0.939499 0.894827 0.597900
0.921874 0.088493 0.195983 0.045227 0.325330
0.388677 0.271349 0.828738 0.356753 0.280935
0.542696 0.140924 0.802197 0.074551 0.986887
0.772245 0.198716 0.005522 0.815461 0.706857
0.729007 0.771270 0.074045 0.358466 0.115869
0.863103 0.623298 0.330898 0.063558 0.310982
0.325183 0.729606 0.637557 0.887213 0.472215
0.119594 0.713245 0.760785 0.561277 0.770967
0.493796 0.522733 0.427541 0.025419 0.107891
0.031429 0.636410 0.314356 0.508571 0.907566
0.249292 0.410383 0.755551 0.228798 0.076980
0.289751 0.161221 0.929698 0.808120 0.633404
0.871461 0.803672 0.186570 0.892559 0.539342
0.807440 0.896091 0.318003 0.110052 0.227935
0.427108 0.818015 0.860731 0.006952 0.510747
0.417411 0.222108 0.119865 0.337615 0.942910
0.323203 0.518791 0.703019 0.363630 0.971782
0.962447 0.251782 0.497249 0.300878 0.284840
0.036887 0.609564 0.502679 0.051479 0.278646
0.908266 0.239562 0.144895 0.489453 0.985650
0.242055 0.672136 0.761620 0.237638 0.728216
0.367783 0.632306 0.633530 0.535775 0.090290
0.835302 0.320780 0.186519 0.040775 0.590893
0.677564 0.016588 0.512093 0.226496 0.645173
0.174366 0.690938 0.386735 0.936730 0.137521
0.341066 0.113474 0.924694 0.877339 0.257942
0.659984 0.817222 0.555201 0.529651 0.241852
0.093103 0.897216 0.900418 0.633101 0.339030
0.349210 0.725956 0.897110 0.887086 0.779876
0.642032 0.084140 0.161629 0.898554 0.606429
0.009197 0.101472 0.663502 0.005062 0.160808
0.548734 0.691895 0.651961 0.224269 0.712179
0.237249 0.325400 0.746491 0.649633 0.849223
0.657613 0.568309 0.093675 0.367716 0.265202
0.243990 0.973011 0.393098 0.892047 0.631139
0.794811 0.502637 0.576904 0.492518 0.195243
0.722452 0.280772 0.024316 0.645472 0.177111
0.940459 0.953929 0.914864 0.370159 0.015457
0.928319 0.428184 0.966655 0.963620 0.853009
0.294449 0.385098 0.851137 0.316922 0.169493
0.556801 0.936155 0.696030 0.570061 0.097176
0.615007 0.990054 0.140084 0.518330 0.877373
0.740769 0.697016 0.702484 0.359491 0.293592
0.809361 0.810113 0.867072 0.913241 0.511342
0.501516 0.798295 0.649964 0.701967 0.795793
0.890005 0.337995 0.375583 0.093982 0.578280
0.035942 0.465598 0.542645 0.286541 0.590833
0.030500 0.037348 0.822601 0.360191 0.127061
0.522243 0.769994 0.215821 0.622890 0.085347
0.051682 0.531355 0.540635 0.637430 0.726091
0.975852 0.516300 0.322956 0.795186 0.270832
0.438971 0.078456 0.025351 0.962648 0.835980
0.695974 0.408953 0.173294 0.156437 0.250243
0.549227 0.714596 0.660197 0.279934 0.954865
0.737897 0.554354 0.611721 0.419600 0.247731
0.355973 0.757846 0.014393 0.116073 0.046003
0.040729 0.855461 0.703658 0.474174 0.097834
0.491616 0.473472 0.173202 0.433852 0.398505
0.615850 0.635094 0.045304 0.374613 0.625860
0.503136 0.856490 0.658694 0.162934 0.070569
0.642419 0.026511 0.585776 0.940230 0.575474
0.388170 0.643288 0.458253 0.545617 0.941465
0.386103 0.961191 0.905351 0.195791 0.069361
0.100778 0.018222 0.094443 0.683007 0.071189
0.318976 0.844875 0.023272 0.814468 0.281855
0.118165 0.696737 0.628943 0.877472 0.735071
0.803481 0.282035 0.177440 0.750615 0.806835
0.990505 0.412618 0.372018 0.776413 0.340804
0.930757 0.858413 0.428994 0.750871 0.754543
0.103124 0.902553 0.505252 0.826457 0.320050
0.895523 0.389202 0.010838 0.905382 0.091287
0.319314 0.950062 0.950607 0.573438 0.631837
0.448446 0.293211 0.328665 0.672518 0.752375
0.791579 0.789618 0.091206 0.494420 0.057559
0.549529 0.441531 0.887704 0.350915 0.117067
0.142992 0.761511 0.618218 0.101123 0.084107
0.700969 0.072763 0.821860 0.706242 0.081349
0.084838 0.986640 0.374271 0.370642 0.812800
0.947249 0.986001 0.753378 0.376260 0.083501
0.777147 0.558404 0.424222 0.906354 0.111197
0.492625 0.011354 0.468661 0.056303 0.118818
0.117526 0.649210 0.746045 0.583369 0.962173
0.374871 0.285712 0.868599 0.223596 0.963223
0.012154 0.969879 0.043160 0.891143 0.527701
0.992965 0.073797 0.553854 0.969303 0.523098
0.629399 0.695749 0.454541 0.627558 0.584314
0.901158 0.045446 0.280963 0.950411 0.890264
0.455657 0.620133 0.277381 0.188121 0.463698
0.353352 0.583656 0.077735 0.974395 0.986211
0.698162 0.536096 0.309528 0.813795 0.684731
0.162617 0.910927 0.822537 0.949800 0.725720
0.613415 0.418243 0.932728 0.866064 0.045219
0.026367 0.376463 0.810553 0.987276 0.150417
0.594131 0.380891 0.969914 0.842119 0.838329
0.468693 0.414820 0.273407 0.056375 0.864722
0.812901 0.999718 0.996637 0.555432 0.768987
0.944766 0.849647 0.247348 0.450544 0.129159
0.954051 0.606175 0.228643 0.671701 0.618128
0.358163 0.113558 0.671573 0.520308 0.772318
0.520164 0.852182 0.551907 0.560938 0.876654
0.403483 0.134015 0.028783 0.755137 0.620310
0.704080 0.212964 0.136371 0.014545 0.350588
0.589918 0.392244 0.437475 0.904159 0.348255
0.513989 0.783653 0.396543 0.622087 0.862364
0.949521 0.147073 0.926588 0.492116 0.258244
0.459136 0.980033 0.492618 0.328752 0.633401
0.240146 0.075863 0.128880 0.128046 0.151903
0.138827 0.640875 0.181880 0.345667 0.896788
0.473962 0.667558 0.172320 0.192289 0.040869
0.168935 0.278590 0.177010 0.088703 0.120636
0.460779 0.206334 0.364270 0.503417 0.690395
0.039312 0.799410 0.627900 0.081759 0.873579
0.920872 0.061078 0.276878 0.806201 0.748260
0.184521 0.209349 0.370472 0.484523 0.618255
0.368914 0.462535 0.747471 0.036683 0.252437
0.713350 0.895207 0.511677 0.532113 0.107172
0.447412 0.532617 0.242471 0.269243 0.377284
0.020071 0.322079 0.211448 0.327497 0.119762
0.890527 0.593592 0.679102 0.789171 0.498442
0.086920 0.537107 0.586841 0.745439 0.431660
0.127580 0.283776 0.363082 0.645917 0.570778
0.356097 0.986515 0.605775 0.237227 0.101782
0.152859 0.245958 0.160681 0.186567 0.285095
0.173374 0.896765 0.080234 0.524511 0.410397
0.982379 0.112039 0.397856 0.969470 0.865507
0.817072 0.257903 0.170888 0.668643 0.929376
0.556763 0.571613 0.279979 0.769493 0.187044
0.323679 0.425436 0.507610 0.242410 0.114837
0.610620 0.288631 0.581238 0.154363 0.481140
0.532589 0.051824 0.336604 0.134415 0.063375
0.989960 0.322354 0.809874 0.254641 0.681503
0.760228 0.595639 0.471576 0.411841 0.348868
0.929529 0.830619 0.965027 0.124297 0.730867
0.938340 0.181233 0.066496 0.741121 0.574473
0.841829 0.139772 0.795267 0.201627 0.163656
0.164266 0.814575 0.665197 0.523065 0.358830
0.877201 0.392445 0.816599 0.439135 0.376944
0.462680 0.301378 0.747609 0.502720 0.232213
0.899575 0.383891 0.543553 0.906472 0.624238
0.116898 0.939832 0.627708 0.334906 0.139272
0.794025 0.620073 0.533461 0.893893 0.788597
0.151675 0.311722 0.248489 0.743946 0.033532
0.569890 0.762459 0.876766 0.342082 0.821257
0.110632 0.846452 0.127489 0.397287 0.797295
0.149917 0.229251 0.722253 0.720037 0.641148
0.693948 0.542724 0.251799 0.345696 0.181598
0.908451 0.583392 0.400851 0.462006 0.947283
0.153351 0.586230 0.505889 0.611454 0.018110
0.872124 0.932118 0.565133 0.696651 0.922499
0.707239 0.152539 0.576288 0.606715 0.424131
0.736444 0.934367 0.925569 0.450839 0.113238
0.984841 0.838898 0.124663 0.920842 0.869896
0.518838 0.591275 0.399003 0.054762 0.335197
0.802853 0.004632 0.333499 0.398169 0.537396
0.919856 0.346346 0.346953 0.737501 0.452218
0.224605 0.452440 0.140857 0.176387 0.498368
0.418925 0.914846 0.362394 0.580588 0.632264
0.013094 0.663537 0.178036 0.961070 0.148663
0.414624 0.085350 0.996874 0.502195 0.595385
0.067076 0.749960 0.209906 0.898054 0.205140
0.190688 0.036550 0.472067 0.564841 0.065709
0.775528 0.453289 0.524390 0.440763 0.400763
0.559640 0.155240 0.181928 0.861786 0.946115
0.373309 0.270745 0.644000 0.408734 0.025386
0.156153 0.715972 0.658924 0.027096 0.221972
0.231075 0.671893 0.019711 0.104109 0.799916
0.178545 0.652746 0.238183 0.099441 0.243172
0.722267 0.855696 0.830220 0.397184 0.668085
0.204984 0.293148 0.896336 0.013002 0.085509
0.207886 0.026532 0.181435 0.583042 0.421425
0.892672 0.817444 0.341817 0.259423 0.379692
0.590295 0.268064 0.624149 0.409412 0.552047
0.436127 0.294466 0.948453 0.763606 0.140113
0.868468 0.487431 0.894552 0.799855 0.425214
0.022469 0.268677 0.541634 0.633478 0.257888
0.139356 0.834930 0.984402 0.525690 0.171679
0.272307 0.018391 0.914299 0.117751 0.576516
0.274055 0.554178 0.651420 0.829742 0.206421
0.010996 0.136886 0.900019 0.873890 0.597413
0.600517 0.665037 0.175371 0.914412 0.418771
0.383139 0.518918 0.046966 0.166283 0.738034
0.082799 0.603152 0.245349 0.389296 0.288694
0.355673 0.719046 0.297122 0.566405 0.476050
0.663671 0.936830 0.732572 0.214940 0.031183
